input_name,input_city,input_state,rssd_id,matched_name,entity_type,matched_city,matched_state,status,composite_score,name_score,cues_matched,confidence,validation_verdict,validation_reason_codes
Truchoice Federal Credit Union,Portland,ME,699383,TRUCHOICE FEDERAL CREDIT UNION,FCU,SOUTH PORTLAND,ME,active,100.0,100.0,"state,city",strong,accept,"city_mismatch,composite_capped"
Sandhills State Bank,Bassett,NE,987259,SANDHILLS STATE BANK,NMB,NORTH PLATTE,NE,active,100.0,100.0,"state,city",strong,accept,"city_mismatch,composite_capped"
Carolina Bank And Trust,Darlington,SC,245520,CAROLINA BANK AND TRUST COMPANY,NMB,CHARLESTON,SC,closed,100.0,95.0,"state,city",strong,accept,"city_mismatch,composite_capped"
Lancaster Red Rose Credit Union,Lancaster,PA,492995,LANCASTER RED ROSE CREDIT UNION,SCU,LEOLA,PA,active,100.0,100.0,"state,city",strong,accept,"city_mismatch,composite_capped"
Credit Union Of Dodge City,Dodge City,KS,103095,CREDIT UNION OF DODGE CITY,SCU,DODGE CITY,KS,active,100.0,100.0,"state,city",strong,accept,composite_capped
Nebraska State Bank,Bristow,NE,514057,NEBRASKA STATE BANK,NMB,LYNCH,NE,active,100.0,100.0,state,strong,accept,"city_mismatch,composite_capped"
Ppg & Associates Federal Credit Union,Creighton,PA,43874,PPG & ASSOCIATES FEDERAL CREDIT UNION,FCU,CREIGHTON,PA,active,100.0,100.0,"state,city",strong,accept,composite_capped
Lifeway Credit Union,Nashville,TN,262899,GREATER EXPERIENCE CREDIT UNION,SCU,JOHNSON CITY,TN,active,100.0,85.5,state,strong,review,"moderate_name_score,city_mismatch,composite_capped"
Patriots Bank,Shawnee Mission,KS,297051,PATRIOTS BANK,NMB,GARNETT,KS,active,100.0,100.0,state,strong,accept,"city_mismatch,composite_capped"
Central Soya Federal Credit Union,Decatur,IN,407878,CENTRAL SOYA FEDERAL CREDIT UNION,FCU,DECATUR,IN,active,100.0,100.0,"state,city",strong,accept,composite_capped
Greater Woodlawn Federal Credit Union,buffalo,NY,783983,GREATER WOODLAWN FEDERAL CREDIT UNION,FCU,BLASDELL,NY,active,100.0,100.0,state,strong,accept,"city_mismatch,composite_capped"
Northern Redwood Federal Credit Union,Arcata,CA,736886,NORTHERN REDWOOD FEDERAL CREDIT UNION,FCU,ARCATA,CA,active,100.0,100.0,"state,city",strong,accept,composite_capped
The Turbotville National Bank,Turbotville,PA,906410,"TURBOTVILLE NATIONAL BANK, THE",NAT,TURBOTVILLE,PA,active,100.0,93.4,"state,city",strong,accept,composite_capped
The Farmers Savings Bank,Spencer,OH,346379,FIRST FEDERAL COMMUNITY BANK OF BUCYRUS,CSA,BUCYRUS,OH,active,100.0,85.5,state,strong,review,"moderate_name_score,city_mismatch,composite_capped"
Financial One Credit Union,Columbia Hts,MN,336790,FINANCIAL ONE CREDIT UNION,SCU,COLUMBIA HEIGHTS,MN,closed,100.0,100.0,"state,city",strong,accept,"city_mismatch,composite_capped"
